Positive,Negative,Neutral,Compound,Sentiment_Label
0.083,0.125,0.792,0.5098,Positive
0.157,0.174,0.669,0.6108,Positive
0.083,0.134,0.784,0.9798,Positive
0.117,0.024,0.859,-0.8271,Negative
0.787,0.0,0.213,-0.5719,Negative
0.0,0.821,0.179,0.68,Positive
0.0,0.313,0.687,0.9927,Positive
0.0,0.357,0.643,0.9822,Positive
0.117,0.055,0.828,-0.9811,Negative
0.0,0.344,0.656,0.9769,Positive
0.0,0.42,0.58,0.4404,Positive
0.1,0.063,0.837,-0.2023,Negative
0.256,0.027,0.717,-0.9866,Negative
0.0,0.098,0.902,0.8747,Positive
0.175,0.0,0.825,-0.7893,Negative
0.0,0.258,0.742,0.8674,Positive
0.111,0.314,0.575,0.68,Positive
0.046,0.212,0.742,0.8608,Positive
0.441,0.0,0.559,-0.6722,Negative
0.0,0.272,0.728,0.6269,Positive
0.134,0.065,0.8,-0.4445,Negative
0.094,0.038,0.868,-0.6804,Negative
0.303,0.122,0.576,-0.9885,Negative
0.162,0.0,0.838,-0.5837,Negative
0.132,0.07,0.799,-0.8918,Negative
0.0,0.51,0.49,0.8074,Positive
0.048,0.19,0.762,0.9727,Positive
0.093,0.066,0.842,-0.4652,Negative
0.16,0.091,0.749,-0.6815,Negative
0.072,0.103,0.826,0.5927,Positive
0.075,0.197,0.728,0.9878,Positive
0.046,0.206,0.748,0.7717,Positive
0.07,0.21,0.72,0.9177,Positive
0.097,0.346,0.557,0.8519,Positive
0.113,0.036,0.85,-0.9069,Negative
0.086,0.183,0.731,0.9372,Positive
0.067,0.179,0.754,0.4632,Positive
0.201,0.055,0.744,-0.8241,Negative
0.0,0.188,0.812,0.802,Positive
